,accuracy,precision,recall,f1,roc_auc,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split
1911,0.5992492492492493,0.4284850770144888,0.395054945054945,0.4053196173496506,0.5816800047778309,10,sqrt,40,1,2
2303,0.5992492492492493,0.4284850770144888,0.395054945054945,0.4053196173496506,0.5816800047778309,10,log2,40,1,2
1862,0.6046546546546547,0.4416843777137894,0.4252747252747252,0.4290558810859144,0.6057363831820354,10,sqrt,35,1,2
2254,0.6046546546546547,0.4416843777137894,0.4252747252747252,0.4290558810859144,0.6057363831820354,10,log2,35,1,2
1813,0.6154654654654654,0.4485234210234211,0.3950549450549451,0.4136759994391574,0.6230271540054149,10,sqrt,30,1,2
2205,0.6154654654654654,0.4485234210234211,0.3950549450549451,0.4136759994391574,0.6230271540054149,10,log2,30,1,2
3038,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,15,sqrt,35,1,2
3430,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,15,log2,35,1,2
4214,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,20,sqrt,35,1,2
4606,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,20,log2,35,1,2
5390,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,25,sqrt,35,1,2
5782,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,25,log2,35,1,2
6566,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,30,sqrt,35,1,2
6958,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,30,log2,35,1,2
7742,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,35,sqrt,35,1,2
8134,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,35,log2,35,1,2
8918,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,40,sqrt,35,1,2
9310,0.6154654654654655,0.4664765300059418,0.4115384615384616,0.4244704128750824,0.5952022615066095,40,log2,35,1,2
3087,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,15,sqrt,40,1,2
3479,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,15,log2,40,1,2
4263,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,20,sqrt,40,1,2
4655,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,20,log2,40,1,2
5439,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,25,sqrt,40,1,2
5831,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,25,log2,40,1,2
6615,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,30,sqrt,40,1,2
7007,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,30,log2,40,1,2
7791,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,35,sqrt,40,1,2
8183,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,35,log2,40,1,2
8967,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,40,sqrt,40,1,2
9359,0.6155405405405405,0.4828013163307281,0.4186813186813187,0.435520779199106,0.5836797260710305,40,log2,40,1,2
3089,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,15,sqrt,40,1,6
3481,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,15,log2,40,1,6
4265,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,20,sqrt,40,1,6
4657,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,20,log2,40,1,6
5441,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,25,sqrt,40,1,6
5833,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,25,log2,40,1,6
6617,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,30,sqrt,40,1,6
7009,0.617867867867868,0.4722442031652558,0.460989010989011,0.463880475845993,0.6079093008440835,30,log2,40,1,6
