,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
544,0.9230434782608696,0.9795238095238096,0.8069852941176471,0.8836463133640553,0.983250325992466,38,7,uniform
572,0.9252657004830918,0.9795238095238096,0.8132352941176471,0.8875872000635626,0.9846276441611128,40,7,uniform
558,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184012,0.9843233845262244,39,7,uniform
516,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184014,0.9828328745291222,36,7,uniform
488,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184014,0.9830483917705012,34,7,uniform
530,0.927487922705314,0.9795238095238096,0.8191176470588235,0.8910146194184014,0.9834631266299624,37,7,uniform
542,0.927487922705314,0.9799404761904762,0.8194852941176471,0.8910146194184014,0.9838787670240507,38,6,uniform
502,0.9296618357487922,0.9795238095238096,0.825,0.8946705333968961,0.9829342944074184,35,7,uniform
559,0.9297101449275365,0.9795238095238096,0.8253676470588236,0.8949555061179086,0.985163720660678,39,7,distance
573,0.9297101449275365,0.9795238095238096,0.8253676470588236,0.8949555061179086,0.985163720660678,40,7,distance
514,0.9297101449275365,0.9799404761904762,0.8257352941176471,0.8949555061179086,0.9838742393509128,36,6,uniform
531,0.9297101449275365,0.98,0.8253676470588236,0.8946705333968961,0.985138365691104,37,7,distance
570,0.9297101449275365,0.9870833333333332,0.8194852941176471,0.8940031251655277,0.9844039771080848,40,6,uniform
528,0.9319323671497586,0.9799404761904762,0.8316176470588236,0.8983829254727475,0.9835663575775138,37,6,uniform
500,0.9319323671497586,0.9799404761904762,0.8316176470588236,0.8983829254727475,0.9839982975949,35,6,uniform
529,0.9319323671497586,0.9799404761904762,0.8316176470588236,0.8983829254727475,0.9849264705882352,37,6,distance
545,0.9319323671497586,0.98,0.8316176470588236,0.8986114200964034,0.984522602144306,38,7,distance
460,0.9340579710144928,0.98,0.8371323529411765,0.9017538667302294,0.9838887279049552,32,7,uniform
503,0.9340579710144928,0.98,0.8371323529411765,0.9017538667302294,0.9840879455230368,35,7,distance
456,0.9341062801932368,0.9799404761904762,0.8375,0.901810344827586,0.9863146551724136,32,5,uniform
