,accuracy,precision,recall,f1,roc_auc,C,penalty,solver
6,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,l1,lbfgs
8,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,l1,newton-cg
9,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,l1,newton-cholesky
10,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,l1,sag
12,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,elasticnet,lbfgs
13,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,elasticnet,liblinear
14,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,elasticnet,newton-cg
15,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,elasticnet,newton-cholesky
16,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,elasticnet,sag
17,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,elasticnet,saga
19,-1.0,-1.0,-1.0,-1.0,-1.0,1e-05,,liblinear
30,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,l1,lbfgs
32,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,l1,newton-cg
33,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,l1,newton-cholesky
34,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,l1,sag
36,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,elasticnet,lbfgs
37,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,elasticnet,liblinear
38,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,elasticnet,newton-cg
39,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,elasticnet,newton-cholesky
40,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,elasticnet,sag
41,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,elasticnet,saga
43,-1.0,-1.0,-1.0,-1.0,-1.0,0.0001,,liblinear
54,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,l1,lbfgs
56,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,l1,newton-cg
57,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,l1,newton-cholesky
58,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,l1,sag
60,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,elasticnet,lbfgs
61,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,elasticnet,liblinear
62,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,elasticnet,newton-cg
63,-1.0,-1.0,-1.0,-1.0,-1.0,0.001,elasticnet,newton-cholesky
