,accuracy,precision,recall,f1,roc_auc,C,degree,gamma,kernel
29,0.635217391304348,0.0,0.0,0.0,0.5,1e-05,1,100.0,rbf
31,0.635217391304348,0.0,0.0,0.0,0.5,1e-05,8,1e-05,poly
34,0.635217391304348,0.0,0.0,0.0,0.5,1e-05,8,5.994842503189409e-05,poly
59,0.635217391304348,0.0,0.0,0.0,0.5,1e-05,8,100.0,rbf
89,0.635217391304348,0.0,0.0,0.0,0.5,5.994842503189409e-05,1,100.0,rbf
91,0.635217391304348,0.0,0.0,0.0,0.5,5.994842503189409e-05,8,1e-05,poly
94,0.635217391304348,0.0,0.0,0.0,0.5,5.994842503189409e-05,8,5.994842503189409e-05,poly
119,0.635217391304348,0.0,0.0,0.0,0.5,5.994842503189409e-05,8,100.0,rbf
149,0.635217391304348,0.0,0.0,0.0,0.5,0.00035938136638046257,1,100.0,rbf
151,0.635217391304348,0.0,0.0,0.0,0.5,0.00035938136638046257,8,1e-05,poly
154,0.635217391304348,0.0,0.0,0.0,0.5,0.00035938136638046257,8,5.994842503189409e-05,poly
179,0.635217391304348,0.0,0.0,0.0,0.5,0.00035938136638046257,8,100.0,rbf
209,0.635217391304348,0.0,0.0,0.0,0.5,0.0021544346900318843,1,100.0,rbf
211,0.635217391304348,0.0,0.0,0.0,0.5,0.0021544346900318843,8,1e-05,poly
214,0.635217391304348,0.0,0.0,0.0,0.5,0.0021544346900318843,8,5.994842503189409e-05,poly
239,0.635217391304348,0.0,0.0,0.0,0.5,0.0021544346900318843,8,100.0,rbf
269,0.635217391304348,0.0,0.0,0.0,0.5,0.01291549665014884,1,100.0,rbf
271,0.635217391304348,0.0,0.0,0.0,0.5,0.01291549665014884,8,1e-05,poly
274,0.635217391304348,0.0,0.0,0.0,0.5,0.01291549665014884,8,5.994842503189409e-05,poly
299,0.635217391304348,0.0,0.0,0.0,0.5,0.01291549665014884,8,100.0,rbf
329,0.635217391304348,0.0,0.0,0.0,0.5,0.0774263682681127,1,100.0,rbf
331,0.635217391304348,0.0,0.0,0.0,0.5,0.0774263682681127,8,1e-05,poly
359,0.635217391304348,0.0,0.0,0.0,0.5,0.0774263682681127,8,100.0,rbf
389,0.635217391304348,0.0,0.0,0.0,0.5,0.4641588833612782,1,100.0,rbf
391,0.635217391304348,0.0,0.0,0.0,0.5,0.4641588833612782,8,1e-05,poly
419,0.635217391304348,0.0,0.0,0.0,0.5,0.4641588833612782,8,100.0,rbf
449,0.635217391304348,0.0,0.0,0.0,0.5,2.782559402207126,1,100.0,rbf
451,0.635217391304348,0.0,0.0,0.0,0.5,2.782559402207126,8,1e-05,poly
479,0.635217391304348,0.0,0.0,0.0,0.5,2.782559402207126,8,100.0,rbf
509,0.635217391304348,0.0,0.0,0.0,0.5,16.68100537200059,1,100.0,rbf
511,0.635217391304348,0.0,0.0,0.0,0.5,16.68100537200059,8,1e-05,poly
539,0.635217391304348,0.0,0.0,0.0,0.5,16.68100537200059,8,100.0,rbf
